2008.120219
   Z       E            F
   4  1.190E+03  1.030E-07
   4  1.368E+03  6.465E-08
   4  1.573E+03  4.053E-08
   4  1.808E+03  2.543E-08
   4  2.079E+03  1.593E-08
   4  2.390E+03  9.990E-09
   4  2.748E+03  6.250E-09
   4  3.160E+03  3.914E-09
   4  3.633E+03  2.452E-09
   4  4.177E+03  1.533E-09
   4  4.803E+03  9.603E-10
   4  5.522E+03  6.004E-10
   4  6.349E+03  3.756E-10
   4  7.300E+03  2.351E-10
   4  8.393E+03  1.469E-10
   4  9.650E+03  9.191E-11
   4  1.110E+04  5.748E-11
   4  1.276E+04  3.592E-11
   4  1.467E+04  2.247E-11
   4  1.686E+04  1.404E-11
   4  1.939E+04  8.778E-12
   4  2.229E+04  5.493E-12
   4  2.563E+04  3.428E-12
   4  2.947E+04  2.146E-12
   4  3.388E+04  1.340E-12
   4  3.896E+04  8.389E-13
   4  4.479E+04  5.231E-13
   4  5.150E+04  3.277E-13
   4  5.921E+04  2.043E-13
   4  6.808E+04  1.283E-13
   4  7.828E+04  7.952E-14
   4  9.000E+04  5.038E-14
   5  1.100E-01  1.433E-02
   5  1.265E-01  1.662E-02
   5  1.454E-01  1.927E-02
   5  1.672E-01  2.235E-02
   5  1.922E-01  2.590E-02
   5  2.210E-01  3.001E-02
   5  2.541E-01  3.474E-02
   5  2.922E-01  4.018E-02
   5  3.359E-01  4.641E-02
   5  3.862E-01  5.351E-02
   5  4.441E-01  6.156E-02
   5  5.106E-01  7.063E-02
   5  5.870E-01  8.076E-02
   5  6.749E-01  9.196E-02
   5  7.760E-01  1.042E-01
   5  8.922E-01  1.174E-01
   5  1.026E+00  1.315E-01
   5  1.179E+00  1.461E-01
   5  1.356E+00  1.611E-01
   5  1.559E+00  1.759E-01
   5  1.793E+00  1.901E-01
   5  2.061E+00  2.032E-01
   5  2.370E+00  2.145E-01
   5  2.725E+00  2.233E-01
   5  3.133E+00  2.292E-01
   5  3.602E+00  2.316E-01
   5  4.141E+00  2.301E-01
   5  4.762E+00  2.246E-01
   5  5.475E+00  2.152E-01
   5  6.295E+00  2.022E-01
   5  7.237E+00  1.862E-01
   5  8.321E+00  1.678E-01
   5  9.567E+00  1.480E-01
   5  1.100E+01  1.278E-01
   5  1.265E+01  1.080E-01
   5  1.454E+01  8.921E-02
   5  1.672E+01  7.220E-02
   5  1.922E+01  5.720E-02
   5  2.210E+01  4.441E-02
   5  2.541E+01  3.382E-02
   5  2.922E+01  2.528E-02
   5  3.359E+01  1.856E-02
   5  3.862E+01  1.341E-02
   5  4.441E+01  9.549E-03
   5  5.106E+01  6.701E-03
   5  5.870E+01  4.641E-03
   5  6.749E+01  3.179E-03
   5  7.760E+01  2.155E-03
   5  8.922E+01  1.446E-03
   5  1.026E+02  9.614E-04
   5  1.179E+02  6.353E-04
   5  1.356E+02  4.165E-04
   5  1.559E+02  2.713E-04
   5  1.793E+02  1.760E-04
   5  2.061E+02  1.134E-04
   5  2.370E+02  7.292E-05
   5  2.725E+02  4.667E-05
   5  3.133E+02  2.976E-05
   5  3.602E+02  1.891E-05
   5  4.141E+02  1.201E-05
   5  4.762E+02  7.595E-06
   5  5.475E+02  4.803E-06
   5  6.295E+02  3.029E-06
   5  7.237E+02  1.906E-06
   5  8.321E+02  1.200E-06
   5  9.567E+02  7.533E-07
   5  1.100E+03  4.734E-07
   5  1.265E+03  2.965E-07
   5  1.454E+03  1.858E-07
   5  1.672E+03  1.164E-07
   5  1.922E+03  7.280E-08
   5  2.210E+03  4.558E-08
   5  2.541E+03  2.849E-08
   5  2.922E+03  1.780E-08
   5  3.359E+03  1.113E-08
   5  3.862E+03  6.947E-09
   5  4.441E+03  4.343E-09
   5  5.106E+03  2.710E-09
   5  5.870E+03  1.691E-09
   5  6.749E+03  1.056E-09
   5  7.760E+03  6.591E-10
   5  8.922E+03  4.112E-10
   5  1.026E+04  2.565E-10
   5  1.179E+04  1.600E-10
   5  1.356E+04  9.983E-11
   5  1.559E+04  6.229E-11
   5  1.793E+04  3.883E-11
   5  2.061E+04  2.424E-11
   5  2.370E+04  1.509E-11
   5  2.725E+04  9.432E-12
   5  3.133E+04  5.871E-12
   5  3.602E+04  3.665E-12
