2023.873973
    Z       E            F 
   5  1.793E+00  9.832E-01
   5  2.061E+00  9.011E-01
   5  2.369E+00  8.199E-01
   5  2.725E+00  7.398E-01
   5  3.133E+00  6.617E-01
   5  3.602E+00  5.862E-01
   5  4.142E+00  5.142E-01
   5  4.762E+00  4.461E-01
   5  5.475E+00  3.826E-01
   5  6.294E+00  3.242E-01
   5  7.237E+00  2.713E-01
   5  8.322E+00  2.240E-01
   5  9.567E+00  1.826E-01
   5  1.100E+01  1.468E-01
   5  1.265E+01  1.164E-01
   5  1.454E+01  9.114E-02
   5  1.672E+01  7.040E-02
   5  1.923E+01  5.365E-02
   5  2.210E+01  4.044E-02
   5  2.541E+01  3.008E-02
   5  2.922E+01  2.213E-02
   5  3.359E+01  1.611E-02
   5  3.862E+01  1.161E-02
   5  4.441E+01  8.287E-03
   5  5.106E+01  5.864E-03
   5  5.871E+01  4.119E-03
   5  6.750E+01  2.872E-03
   5  7.760E+01  1.989E-03
   5  8.922E+01  1.370E-03
   5  1.026E+02  9.384E-04
   5  1.179E+02  6.402E-04
   5  1.356E+02  4.342E-04
   5  1.559E+02  2.940E-04
   5  1.793E+02  1.979E-04
   5  2.061E+02  1.330E-04
   5  2.369E+02  8.923E-05
   5  2.725E+02  5.964E-05
   5  3.133E+02  3.980E-05
   5  3.602E+02  2.650E-05
   5  4.142E+02  1.763E-05
   5  4.762E+02  1.171E-05
   5  5.475E+02  7.770E-06
   5  6.294E+02  5.150E-06
   5  7.237E+02  3.410E-06
   5  8.322E+02  2.255E-06
   5  9.567E+02  1.491E-06
   5  1.100E+03  9.851E-07
   5  1.265E+03  6.501E-07
   5  1.454E+03  4.293E-07
   5  1.672E+03  2.832E-07
   5  1.923E+03  1.867E-07
   5  2.210E+03  1.232E-07
   5  2.541E+03  8.119E-08
   5  2.922E+03  5.350E-08
   5  3.359E+03  3.524E-08
   5  3.862E+03  2.322E-08
   5  4.441E+03  1.529E-08
   5  5.106E+03  1.007E-08
   5  5.871E+03  6.629E-09
   5  6.750E+03  4.365E-09
   5  7.760E+03  2.873E-09
   5  8.922E+03  1.892E-09
   5  1.026E+04  1.245E-09
   5  1.179E+04  8.202E-10
   5  1.356E+04  5.392E-10
   5  1.559E+04  3.554E-10
   5  1.793E+04  2.335E-10
   5  2.061E+04  1.537E-10
   5  2.369E+04  1.012E-10
   5  2.725E+04  6.658E-11
   5  3.133E+04  4.381E-11
   5  3.602E+04  2.882E-11
   5  4.142E+04  1.897E-11
   5  4.762E+04  1.248E-11
   5  5.475E+04  8.213E-12
   5  6.294E+04  5.407E-12
   5  7.237E+04  3.557E-12
   5  8.322E+04  2.340E-12
   5  9.567E+04  1.540E-12
   5  1.100E+05  1.013E-12
   6  1.200E-01  1.164E+02
   6  1.380E-01  1.010E+02
   6  1.586E-01  8.765E+01
   6  1.824E-01  7.605E+01
   6  2.098E-01  6.594E+01
   6  2.411E-01  5.718E+01
   6  2.772E-01  4.954E+01
   6  3.187E-01  4.290E+01
   6  3.665E-01  3.713E+01
   6  4.213E-01  3.211E+01
   6  4.844E-01  2.775E+01
   6  5.570E-01  2.395E+01
   6  6.404E-01  2.065E+01
   6  7.363E-01  1.779E+01
