2024.125683
   Z       E         F
   6  4.518E+00  4.252E-01
   6  5.195E+00  4.048E-01
   6  5.972E+00  3.798E-01
   6  6.866E+00  3.509E-01
   6  7.895E+00  3.193E-01
   6  9.078E+00  2.861E-01
   6  1.044E+01  2.523E-01
   6  1.200E+01  2.190E-01
   6  1.380E+01  1.871E-01
   6  1.586E+01  1.574E-01
   6  1.824E+01  1.304E-01
   6  2.098E+01  1.064E-01
   6  2.411E+01  8.568E-02
   6  2.772E+01  6.797E-02
   6  3.187E+01  5.321E-02
   6  3.665E+01  4.113E-02
   6  4.213E+01  3.142E-02
   6  4.844E+01  2.373E-02
   6  5.570E+01  1.774E-02
   6  6.404E+01  1.313E-02
   6  7.363E+01  9.634E-03
   6  8.466E+01  7.011E-03
   6  9.733E+01  5.066E-03
   6  1.119E+02  3.634E-03
   6  1.286E+02  2.593E-03
   6  1.480E+02  1.838E-03
   6  1.700E+02  1.299E-03
   6  1.956E+02  9.115E-04
   6  2.249E+02  6.381E-04
   6  2.585E+02  4.455E-04
   6  2.972E+02  3.097E-04
   6  3.418E+02  2.148E-04
   6  3.930E+02  1.485E-04
   6  4.518E+02  1.026E-04
   6  5.195E+02  7.069E-05
   6  5.972E+02  4.864E-05
   6  6.866E+02  3.343E-05
   6  7.895E+02  2.294E-05
   6  9.078E+02  1.572E-05
   6  1.044E+03  1.077E-05
   6  1.200E+03  7.366E-06
   6  1.380E+03  5.033E-06
   6  1.586E+03  3.441E-06
   6  1.824E+03  2.350E-06
   6  2.098E+03  1.603E-06
   6  2.411E+03  1.095E-06
   6  2.772E+03  7.465E-07
   6  3.187E+03  5.090E-07
   6  3.665E+03  3.468E-07
   6  4.213E+03  2.364E-07
   6  4.844E+03  1.611E-07
   6  5.570E+03  1.097E-07
   6  6.404E+03  7.471E-08
   6  7.363E+03  5.088E-08
   6  8.466E+03  3.464E-08
   6  9.733E+03  2.359E-08
   6  1.119E+04  1.606E-08
   6  1.286E+04  1.094E-08
   6  1.480E+04  7.438E-09
   6  1.700E+04  5.069E-09
   6  1.956E+04  3.445E-09
   6  2.249E+04  2.345E-09
   6  2.585E+04  1.597E-09
   6  2.972E+04  1.086E-09
   6  3.418E+04  7.391E-10
   6  3.930E+04  5.027E-10
   6  4.518E+04  3.422E-10
   6  5.195E+04  2.328E-10
   6  5.972E+04  1.584E-10
   6  6.866E+04  1.078E-10
   6  7.895E+04  7.336E-11
   6  9.078E+04  4.990E-11
   6  1.044E+05  3.396E-11
   6  1.200E+05  2.310E-11
   7  1.400E-01  1.351E-02
   7  1.610E-01  1.540E-02
   7  1.851E-01  1.752E-02
   7  2.128E-01  1.990E-02
   7  2.447E-01  2.258E-02
   7  2.813E-01  2.555E-02
   7  3.234E-01  2.886E-02
   7  3.718E-01  3.252E-02
   7  4.276E-01  3.653E-02
   7  4.915E-01  4.091E-02
   7  5.652E-01  4.566E-02
   7  6.499E-01  5.075E-02
   7  7.472E-01  5.615E-02
   7  8.590E-01  6.181E-02
   7  9.877E-01  6.766E-02
   7  1.136E+00  7.361E-02
   7  1.306E+00  7.954E-02
   7  1.501E+00  8.529E-02
   7  1.726E+00  9.074E-02
   7  1.984E+00  9.564E-02
   7  2.282E+00  9.987E-02
   7  2.624E+00  1.032E-01
   7  3.016E+00  1.054E-01
   7  3.468E+00  1.064E-01
   7  3.987E+00  1.061E-01
   7  4.585E+00  1.043E-01
   7  5.271E+00  1.012E-01
   7  6.061E+00  9.668E-02
   7  6.968E+00  9.099E-02
   7  8.011E+00  8.430E-02
   7  9.211E+00  7.684E-02
   7  1.059E+01  6.889E-02
   7  1.218E+01  6.075E-02
   7  1.400E+01  5.267E-02
   7  1.610E+01  4.489E-02
   7  1.851E+01  3.764E-02
   7  2.128E+01  3.104E-02
   7  2.447E+01  2.518E-02
   7  2.813E+01  2.013E-02
   7  3.234E+01  1.584E-02
   7  3.718E+01  1.229E-02
   7  4.276E+01  9.400E-03
   7  4.915E+01  7.102E-03
   7  5.652E+01  5.300E-03
   7  6.499E+01  3.911E-03
   7  7.472E+01  2.857E-03
   7  8.590E+01  2.067E-03
   7  9.877E+01  1.483E-03
   7  1.136E+02  1.055E-03
   7  1.306E+02  7.455E-04
   7  1.501E+02  5.237E-04
   7  1.726E+02  3.652E-04
   7  1.984E+02  2.538E-04
   7  2.282E+02  1.752E-04
   7  2.624E+02  1.206E-04
   7  3.016E+02  8.279E-05
   7  3.468E+02  5.657E-05
   7  3.987E+02  3.856E-05
   7  4.585E+02  2.621E-05
   7  5.271E+02  1.779E-05
   7  6.061E+02  1.204E-05
   7  6.968E+02  8.143E-06
   7  8.011E+02  5.497E-06
   7  9.211E+02  3.706E-06
   7  1.059E+03  2.495E-06
   7  1.218E+03  1.678E-06
   7  1.400E+03  1.128E-06
   7  1.610E+03  7.570E-07
   7  1.851E+03  5.083E-07
   7  2.128E+03  3.409E-07
   7  2.447E+03  2.284E-07
   7  2.813E+03  1.532E-07
   7  3.234E+03  1.026E-07
   7  3.718E+03  6.871E-08
   7  4.276E+03  4.599E-08
   7  4.915E+03  3.079E-08
   7  5.652E+03  2.060E-08
   7  6.499E+03  1.377E-08
   7  7.472E+03  9.214E-09
   7  8.590E+03  6.163E-09
   7  9.877E+03  4.121E-09
   7  1.136E+04  2.756E-09
