1997.041096
  Heliocentric potential for LUIN spectrum =   379.000000000000       MV
   Z       E         F
   8  3.215E+01  2.445E-02
   8  3.696E+01  1.871E-02
   8  4.250E+01  1.421E-02
   8  4.886E+01  1.074E-02
   8  5.618E+01  8.064E-03
   8  6.459E+01  6.028E-03
   8  7.427E+01  4.483E-03
   8  8.539E+01  3.321E-03
   8  9.817E+01  2.451E-03
   8  1.129E+02  1.802E-03
   8  1.298E+02  1.321E-03
   8  1.492E+02  9.657E-04
   8  1.716E+02  7.033E-04
   8  1.973E+02  5.113E-04
   8  2.268E+02  3.710E-04
   8  2.608E+02  2.684E-04
   8  2.998E+02  1.939E-04
   8  3.447E+02  1.398E-04
   8  3.963E+02  1.006E-04
   8  4.557E+02  7.229E-05
   8  5.239E+02  5.187E-05
   8  6.024E+02  3.715E-05
   8  6.926E+02  2.657E-05
   8  7.963E+02  1.899E-05
   8  9.156E+02  1.354E-05
   8  1.053E+03  9.646E-06
   8  1.210E+03  6.876E-06
   8  1.392E+03  4.882E-06
   8  1.600E+03  3.470E-06
   8  1.840E+03  2.461E-06
   8  2.115E+03  1.745E-06
   8  2.432E+03  1.235E-06
   8  2.796E+03  8.739E-07
   8  3.215E+03  6.174E-07
   8  3.696E+03  4.360E-07
   8  4.250E+03  3.074E-07
   8  4.886E+03  2.167E-07
   8  5.618E+03  1.525E-07
   8  6.459E+03  1.073E-07
   8  7.427E+03  7.537E-08
   8  8.539E+03  5.292E-08
   8  9.817E+03  3.713E-08
   8  1.129E+04  2.600E-08
   8  1.298E+04  1.821E-08
   8  1.492E+04  1.275E-08
   8  1.716E+04  8.904E-09
   8  1.973E+04  6.218E-09
   8  2.268E+04  4.341E-09
   8  2.608E+04  3.026E-09
   8  2.998E+04  2.109E-09
   8  3.447E+04  1.467E-09
   8  3.963E+04  1.021E-09
   8  4.557E+04  7.089E-10
   8  5.239E+04  4.922E-10
   8  6.024E+04  3.413E-10
   8  6.926E+04  2.365E-10
   8  7.963E+04  1.638E-10
   8  9.156E+04  1.133E-10
   8  1.053E+05  7.825E-11
   8  1.210E+05  5.413E-11
   8  1.392E+05  3.729E-11
