1968.041096
   Z,        E,        F  
   5  6.749E-01  1.000E-33
   5  7.760E-01  1.000E-33
   5  8.922E-01  1.000E-33
   5  1.026E+00  1.000E-33
   5  1.179E+00  1.000E-33
   5  1.356E+00  1.000E-33
   5  1.559E+00  1.000E-33
   5  1.793E+00  1.000E-33
   5  2.061E+00  1.000E-33
   5  2.370E+00  1.000E-33
   5  2.725E+00  1.000E-33
   5  3.133E+00  1.000E-33
   5  3.602E+00  1.000E-33
   5  4.141E+00  1.000E-33
   5  4.762E+00  1.000E-33
   5  5.475E+00  1.000E-33
   5  6.295E+00  1.000E-33
   5  7.237E+00  1.000E-33
   5  8.321E+00  1.000E-33
   5  9.567E+00  1.000E-33
   5  1.100E+01  1.000E-33
   5  1.265E+01  1.000E-33
   5  1.454E+01  1.000E-33
   5  1.672E+01  1.000E-33
   5  1.922E+01  1.000E-33
   5  2.210E+01  1.000E-33
   5  2.541E+01  1.000E-33
   5  2.922E+01  1.000E-33
   5  3.359E+01  1.000E-33
   5  3.862E+01  1.000E-33
   5  4.441E+01  1.000E-33
   5  5.106E+01  1.000E-33
   5  5.870E+01  1.000E-33
   5  6.749E+01  1.000E-33
   5  7.760E+01  1.000E-33
   5  8.922E+01  1.000E-33
   5  1.026E+02  1.000E-33
   5  1.179E+02  1.000E-33
   5  1.356E+02  1.000E-33
   5  1.559E+02  1.000E-33
   5  1.793E+02  1.000E-33
   5  2.061E+02  1.000E-33
   5  2.370E+02  1.000E-33
   5  2.725E+02  1.000E-33
   5  3.133E+02  1.000E-33
   5  3.602E+02  1.000E-33
   5  4.141E+02  1.000E-33
   5  4.762E+02  1.000E-33
   5  5.475E+02  1.000E-33
   5  6.295E+02  1.000E-33
   5  7.237E+02  1.000E-33
   5  8.321E+02  1.000E-33
   5  9.567E+02  1.000E-33
   5  1.100E+03  1.000E-33
   5  1.265E+03  1.000E-33
   5  1.454E+03  1.000E-33
   5  1.672E+03  1.000E-33
   5  1.922E+03  1.000E-33
   5  2.210E+03  1.000E-33
   5  2.541E+03  1.000E-33
   5  2.922E+03  1.000E-33
   5  3.359E+03  1.000E-33
   5  3.862E+03  1.000E-33
